MPN,Reference,Qty,Attrition%,Value
GCM1555C1H681FA16D,C1,4,50,"680pF, 50V"
CC0402KRX5R9BB104,"C2,C3,C5,C6,C32",16,50,"0.1uF, 50V"
CC0402KRX5R6BB105,C4,4,50,"1uF, 10V"
GRM155R71E104KE14D,"C8,C9",8,50,0.1uF
GRT21BR61E226ME13,"C10,C11",8,50,"22uF,25V"
GRM1555C1H750JA01D,C12,4,50,75pF
GRM31CR71E106KA12L,"C7,C13,C17,C31",12,50,10u
,"C14,C15",8,50,15p
CC0402MRX5R6BB475,"C18,C19",8,50,4.7u
CC0402KRX5R9BB104,"C16,C20,C23,C24,C25,C26,C27,C28,C29,C30",36,50,100n
CC0402MRX5R6BB475,"C21,C22",8,50,4.7u
150060RS75000,"D1,D3,D4",12,20,LED
VS-E7FX0212HM3,D2,4,20,D_Schottky
,"H1,H2,H3,H4",16,,MountingHole
NAU7802SGI,IC1,4,100,NAU7802
10103594-0001LF,J1,4,20,USB_B_Micro
MSS1048T-563ML,L2,4,20,MSS1048T-563ML
AOTA-B201610S3R3-101-T,L3,4,20,3.3u
RC0402FR-0747RL,"R1,R2",8,50,"47, 1%"
RC0402FR-0710KL,"R3,R4",8,50,"10K, 1%"
RC0402FR-07510KL,R6,4,50,510K
RC0402FR-07105KL,R7,4,50,105k
RC0402DR-0749R9L,R8,4,50,"49.9, 1%"
RC0402DR-07100KL,R9,4,50,"100k, 1%"
RC0402DR-1313K3L,R10,4,50,"13.3k, 1%"
RC0603FR-07100KL,"R11, R12,R20,R21,R22",16,50,100
RC0402FR-0710KL,R13,4,50,10k
RC0402FR-071KL,"R14,R15,R17",12,50,1k
RC0402JR-0733RL,R16,4,50,33
RC0402FR-0727RL,"R18,R19",8,50,27
PVG3A103C01R00,RV1,4,20,R_Potentiometer_US
434133025816,"SW1,SW2",8,20,SW_Push
TPS54202DDCT,U2,4,100,TPS54202DDCT
W25Q128JVS,U3,4,20,W25Q128JVS
NCP1117LPST33T3G,U4,4,20,NCP1117-3.3_SOT223
SC1511(13)-A4,U5,4,100,RP2350_60QFN
ABM8-272-T3,Y1,4,20,ABM8-272-T3
